,keywords,number_of_times_word_appeared,tf,idf,tf_idf
305,button,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
797,OK,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
872,garbage,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
561,contain,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
230,such,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
977,draw,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
652,literal,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
125,via,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
638,table,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
586,state,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
100,args,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
68,portable,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
464,instance,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
293,execute,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
429,pointers,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
848,equivalent,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
180,thread,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
107,automatic,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
516,parameters,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
917,heap,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
496,Array,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
216,Stack,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
557,arrays,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
499,width,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
295,name,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
733,calloc,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
454,need,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
205,create,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
285,they,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
770,struct,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
143,from,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
825,sizeof,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
21,Object,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
290,nor,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
316,static,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
211,write,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
39,very,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
251,executed,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
321,predefined,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
996,Primitive,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
726,effect,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
522,should,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
542,import,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
621,threads,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
524,only,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
978,elements,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
721,used,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
201,tag,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
377,variables,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
413,passed,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
487,don,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
631,allocates,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
361,length,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
630,way,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
694,equal,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
813,because,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
939,similar,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
357,where,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
450,It,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
932,signed,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
669,p2,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
798,like,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
793,using,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
400,while,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
405,statement,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
568,set,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
554,instantiate,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
81,compile,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
970,test,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
92,version,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
168,p1,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
967,other,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
264,machine,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
271,platform,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
634,Note,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
1005,As,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
649,strings,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
481,definitions,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
852,super,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
736,stack,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
421,copy,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
294,document,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
750,Expressions,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
662,else,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
60,println,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
673,look,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
732,animations,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
395,start,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
955,NULL,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
166,initial,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
343,free,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
89,getParameter,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
920,line,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
686,pointernull,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
820,library,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
730,uses,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
176,must,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
423,semantics,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
368,view,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
913,System,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
123,makes,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
607,WWW,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
925,Garbage,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
671,exception,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
596,extend,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
805,true,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
902,Integer,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
590,drawn,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
221,clone,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
16,consider,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
114,convert,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
532,invoke,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
467,Graphics,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
105,We,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
537,stop,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
362,place,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
402,paint,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
325,space,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
547,compiler,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
950,How,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
292,easily,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
782,By,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
358,messages,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
349,initialize,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
769,now,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
812,Allocate,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
319,collector,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
298,always,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
780,extends,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
409,final,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
804,ignore,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
422,than,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
468,destroy,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
312,hard,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
466,which,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
658,life,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
378,There,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
462,codevoid,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
303,each,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
807,either,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
337,shows,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
420,part,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
809,output,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
370,first,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
766,appletviewer,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
329,QUIT,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
697,Init,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
549,assigned,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
905,function,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
98,contrast,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
50,Statements,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
183,package,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
623,reside,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
179,defines,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
916,link,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
58,leave,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
165,These,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
680,will,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
66,height,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
155,therefore,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
611,stat1,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
928,default,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
71,GUI,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
146,TypeName,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
141,buttons,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
610,bfoo,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
974,arithmetic,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
973,operators,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
696,blah,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
583,label,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
87,section,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
589,between,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
949,char,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
91,access,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
687,loop,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
103,compilation,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
196,programming,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
987,push,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
551,inthis,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
599,equals,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
870,own,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
871,statements,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
647,optional,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
874,into,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
629,address,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
875,within,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
12,edu,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
866,automatically,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
269,dispose,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
246,allow,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
745,TrivialApplication,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
880,references,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
650,been,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
28,those,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
639,allocated,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
31,include,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
862,nothing,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
32,resources,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
525,HTML,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
34,case,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
6,dynamic,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
1,limited,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
238,Variables,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
502,text,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
604,come,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
438,declare,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
601,Vector,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
603,Each,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
635,simply,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
683,behavior,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
666,variableName,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
779,valid,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
668,instantiates,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
432,classes,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
617,display,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
618,etc,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
426,FALSE,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
626,simple,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
636,orin,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
427,keyword,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
665,delimited,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
646,addition,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
747,components,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
597,opening,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
543,during,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
540,cannot,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
